,PktGroupId,PktNumber,Appearance,Direction,Type,Component,Edge,Filter,OriginalSize,LoggedSize
288,1970324836974593,1,7,Tx,WiFi,30,2,0,93,93
289,1970324836974593,1,8,Tx,WiFi,31,1,0,93,93
290,1970324836974593,1,9,Tx,WiFi,31,2,0,93,93
291,1970324836974593,1,10,Tx,WiFi,3,1,0,93,93
292,1125899906842630,1,1,Rx,WiFi,3,1,0,87,87
293,1125899906842630,1,2,Rx,WiFi,31,2,0,87,87
294,1125899906842630,1,3,Rx,WiFi,31,1,0,87,87
295,1125899906842630,1,4,Rx,WiFi,30,2,0,87,87
296,1125899906842630,1,5,Rx,WiFi,30,1,0,87,87
297,1125899906842630,1,6,Rx,WiFi,29,2,0,87,87
298,1125899906842630,1,7,Rx,Ethernet,29,1,0,67,67
299,1125899906842630,1,8,Rx,WiFi,28,2,0,67,67
300,1125899906842630,1,9,Rx,Ethernet,28,1,0,67,67
301,1125899906842630,1,10,Rx,Ethernet,77,1,0,67,67
302,1125899906842630,1,11,Rx,Ethernet,78,1,0,67,67
303,1125899906842630,1,12,Rx,Ethernet,81,1,0,67,67
304,281474976710659,1,1,Tx,Ethernet,81,1,0,54,54
305,281474976710659,1,2,Tx,Ethernet,28,1,0,54,54
306,281474976710659,1,3,Tx,WiFi,28,2,0,54,54
307,281474976710659,1,4,Tx,Ethernet,29,1,0,54,54
308,281474976710659,1,5,Tx,WiFi,29,2,0,72,72
309,281474976710659,1,6,Tx,WiFi,30,1,0,72,72
310,281474976710659,1,7,Tx,WiFi,30,2,0,72,72
311,281474976710659,1,8,Tx,WiFi,31,1,0,72,72
312,281474976710659,1,9,Tx,WiFi,31,2,0,72,72
313,281474976710659,1,10,Tx,WiFi,3,1,0,72,72
314,562949953421321,1,1,Rx,WiFi,3,1,0,105,105
315,562949953421322,1,1,Rx,WiFi,3,1,0,74,74
316,562949953421321,1,2,Rx,WiFi,31,2,0,105,105
317,562949953421322,1,2,Rx,WiFi,31,2,0,74,74
318,562949953421321,1,3,Rx,WiFi,31,1,0,105,105
319,562949953421322,1,3,Rx,WiFi,31,1,0,74,74
320,562949953421321,1,4,Rx,WiFi,30,2,0,105,105
321,562949953421322,1,4,Rx,WiFi,30,2,0,74,74
322,562949953421321,1,5,Rx,WiFi,30,1,0,105,105
323,562949953421322,1,5,Rx,WiFi,30,1,0,74,74
324,562949953421321,1,6,Rx,WiFi,29,2,0,105,105
325,562949953421322,1,6,Rx,WiFi,29,2,0,74,74
326,562949953421321,1,7,Rx,Ethernet,29,1,0,85,85
327,562949953421322,1,7,Rx,Ethernet,29,1,0,54,54
328,562949953421321,1,8,Rx,WiFi,28,2,0,85,85
329,562949953421322,1,8,Rx,WiFi,28,2,0,54,54
330,562949953421321,1,9,Rx,Ethernet,28,1,0,85,85
331,562949953421322,1,9,Rx,Ethernet,28,1,0,54,54
332,562949953421321,1,10,Rx,Ethernet,77,1,0,85,85
333,562949953421322,1,10,Rx,Ethernet,77,1,0,54,54
334,562949953421321,1,11,Rx,Ethernet,78,1,0,85,85
335,562949953421322,1,11,Rx,Ethernet,78,1,0,54,54
336,562949953421321,1,12,Rx,Ethernet,81,1,0,85,85
337,562949953421322,1,12,Rx,Ethernet,81,1,0,54,54
338,562949953421323,1,1,Tx,Ethernet,81,1,0,54,54
339,562949953421323,1,2,Tx,Ethernet,28,1,0,54,54
340,562949953421323,1,3,Tx,WiFi,28,2,0,54,54
341,562949953421323,1,4,Tx,Ethernet,29,1,0,54,54
342,562949953421323,1,5,Tx,WiFi,29,2,0,72,72
343,562949953421323,1,6,Tx,WiFi,30,1,0,72,72
344,562949953421323,1,7,Tx,WiFi,30,2,0,72,72
345,562949953421323,1,8,Tx,WiFi,31,1,0,72,72
346,562949953421323,1,9,Tx,WiFi,31,2,0,72,72
347,562949953421323,1,10,Tx,WiFi,3,1,0,72,72
348,1125899906842631,1,1,Rx,WiFi,3,1,0,98,98
349,1125899906842631,1,2,Rx,WiFi,31,2,0,98,98
350,1125899906842631,1,3,Rx,WiFi,31,1,0,98,98
351,1125899906842631,1,4,Rx,WiFi,30,2,0,98,98
352,1125899906842631,1,5,Rx,WiFi,30,1,0,98,98
353,1125899906842631,1,6,Rx,WiFi,29,2,0,98,98
354,1125899906842631,1,7,Rx,Ethernet,29,1,0,78,78
355,1125899906842631,1,8,Rx,WiFi,28,2,0,78,78
356,1125899906842631,1,9,Rx,Ethernet,28,1,0,78,78
357,1125899906842631,1,10,Rx,Ethernet,77,1,0,78,78
358,1125899906842631,1,11,Rx,Ethernet,78,1,0,78,78
359,1125899906842631,1,12,Rx,Ethernet,81,1,0,78,78
360,1125899906842632,1,1,Tx,Ethernet,81,1,0,42,42
361,1125899906842632,1,2,Tx,Ethernet,28,1,0,42,42
362,1125899906842632,1,3,Tx,WiFi,28,2,0,42,42
363,1125899906842632,1,4,Tx,Ethernet,29,1,0,42,42
364,1125899906842632,1,5,Tx,WiFi,29,2,0,60,60
365,1125899906842632,1,6,Tx,WiFi,30,1,0,60,60
366,1125899906842632,1,7,Tx,WiFi,30,2,0,60,60
367,1125899906842632,1,8,Tx,WiFi,31,1,0,60,60
368,1125899906842632,1,9,Tx,WiFi,31,2,0,60,60
